object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197864,PGE,2026-06-10 16:45:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,4,SANTA CLARA,Active,Planned,276152,6.25
10197865,PGE,2026-06-10 17:31:25+00:00,2026-06-10 21:30:00+00:00,PLNND SHUTDOWN,4,NEVADA,Active,Planned,276156,3.9763888888888888
10197866,PGE,2026-06-10 17:35:52+00:00,2026-06-10 21:30:00+00:00,UNKNOWN / NOT PROVIDED,1,ALAMEDA,Active,Not Planned,276158,3.902222222222222
10197867,PGE,2026-06-10 17:27:43+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,8,NEVADA,Active,Planned,276159,4.538055555555555
10197868,PGE,2026-06-10 17:44:00+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,276170,6.266666666666667
10197869,PGE,2026-06-10 17:49:13+00:00,2026-06-10 22:45:00+00:00,PATROLLING,1,SAN FRANCISCO,Active,Not Planned,276171,4.929722222222222
10197870,PGE,2026-06-10 17:52:36+00:00,2026-06-10 21:15:00+00:00,UNKNOWN / NOT PROVIDED,59,ALAMEDA,Active,Not Planned,276176,3.3733333333333335
10197871,PGE,2026-06-10 17:56:19+00:00,2026-06-10 22:15:00+00:00,UNKNOWN / NOT PROVIDED,1,FRESNO,Active,Not Planned,276182,4.311388888888889
10197872,PGE,2026-06-10 17:59:57+00:00,2026-06-10 23:30:00+00:00,PATROLLING,1,PLACER,Active,Not Planned,276188,5.5008333333333335
10197873,PGE,2026-06-10 18:03:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,3,NEVADA,Active,Planned,276189,4.95
10197874,PGE,2026-06-10 18:00:13+00:00,2026-06-11 01:00:00+00:00,PLNND SHUTDOWN,3,EL DORADO,Active,Planned,276191,6.996388888888889
10197875,PGE,2026-06-10 18:06:43+00:00,2026-06-10 22:30:00+00:00,PATROLLING,1,SANTA CRUZ,Active,Not Planned,276192,4.388055555555556
10197876,PGE,2026-06-10 17:58:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,23,SAN MATEO,Active,Planned,276195,5.033333333333333
10197877,PGE,2026-06-10 18:11:28+00:00,2026-06-11 02:45:00+00:00,PATROLLING,1,SAN MATEO,Active,Not Planned,276196,8.55888888888889
10197878,PGE,2026-06-10 18:15:37+00:00,2026-06-10 21:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN MATEO,Active,Not Planned,276198,3.4897222222222224
10197879,PGE,2026-06-10 18:14:48+00:00,2026-06-11 02:45:00+00:00,TREE CONTACT,21,SANTA CLARA,Active,Not Planned,276199,8.503333333333334
10197880,PGE,2026-06-10 18:17:07+00:00,2026-06-11 00:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN LUIS OBISPO,Active,Not Planned,276201,6.464722222222222
10197881,PGE,2026-06-10 18:28:08+00:00,2026-06-10 23:15:00+00:00,UNKNOWN / NOT PROVIDED,3,EL DORADO,Active,Not Planned,276209,4.7811111111111115
10197882,PGE,2026-06-10 18:29:22+00:00,2026-06-10 23:45:00+00:00,UNKNOWN / NOT PROVIDED,1,FRESNO,Active,Not Planned,276210,5.260555555555555
10197883,PGE,2026-06-10 18:31:50+00:00,2026-06-11 01:45:00+00:00,PATROLLING,1,FRESNO,Active,Not Planned,276212,7.219444444444444
10197884,PGE,2026-06-10 18:34:25+00:00,2026-06-11 03:30:00+00:00,UNKNOWN / NOT PROVIDED,9,SANTA CLARA,Active,Not Planned,276216,8.926388888888889
10197885,PGE,2026-06-10 18:35:04+00:00,2026-06-11 00:30:00+00:00,PATROLLING,1,SAN FRANCISCO,Active,Not Planned,276218,5.915555555555556
10197886,PGE,2026-06-10 18:35:11+00:00,2026-06-11 00:30:00+00:00,PATROLLING,1,ALAMEDA,Active,Not Planned,276219,5.913611111111111
10197887,PGE,2026-06-10 18:06:00+00:00,2026-06-12 00:00:00+00:00,PLNND SHUTDOWN,3,SANTA CLARA,Active,Planned,276227,29.9
10197888,PGE,2026-06-10 18:41:59+00:00,2026-06-11 00:00:00+00:00,PATROLLING,1,FRESNO,Active,Not Planned,276229,5.300277777777778
10197889,PGE,2026-06-10 18:44:53+00:00,2026-06-11 03:30:00+00:00,UNKNOWN / NOT PROVIDED,1,SANTA CLARA,Active,Not Planned,276231,8.751944444444444
10197890,PGE,2026-06-10 18:45:33+00:00,2026-06-10 22:30:00+00:00,PATROLLING,1,EL DORADO,Active,Not Planned,276233,3.7408333333333332
10197891,PGE,2026-06-10 18:46:00+00:00,2026-06-11 00:30:00+00:00,PATROLLING,199,PLACER,Active,Not Planned,276237,5.733333333333333
10197892,PGE,2026-06-10 19:03:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,2,AMADOR,Active,Planned,276244,3.95
10197893,PGE,2026-06-10 19:04:06+00:00,2026-06-11 01:15:00+00:00,PATROLLING,1,TUOLUMNE,Active,Not Planned,276245,6.181666666666667
10197894,PGE,2026-06-10 19:04:26+00:00,2026-06-11 01:15:00+00:00,PATROLLING,18,MONTEREY,Active,Not Planned,276246,6.176111111111111
10197895,PGE,2026-06-10 19:05:09+00:00,2026-06-11 01:00:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN JOAQUIN,Active,Not Planned,276247,5.914166666666667
10197896,PGE,2026-06-10 19:00:50+00:00,2026-06-11 01:30:00+00:00,PLNND SHUTDOWN,4,EL DORADO,Active,Planned,276248,6.486111111111111
10197897,PGE,2026-06-10 19:01:24+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,1,YUBA,Active,Planned,276249,2.9766666666666666
10197898,PGE,2026-06-10 19:00:12+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,1,MARIPOSA,Active,Planned,276250,3.9966666666666666
10197899,PGE,2026-06-10 19:09:00+00:00,2026-06-10 23:45:00+00:00,UNKNOWN / NOT PROVIDED,1,KINGS,Active,Not Planned,276251,4.6
